84.5	30	NAN	
84.75	30	NAN	
85	30	NAN	
85.25	30	NAN	
85.5	28.8	NAN	
85.75	28.1	NAN	
86	28.8	NAN	
86.25	29.4	NAN	
86.5	28.8	NAN	
86.75	28.8	NAN	
87	30	NAN	
87.25	30	NAN	
87.5	30	NAN	
87.75	30	NAN	
88	30	NAN	
88.25	30	NAN	
88.5	30	NAN	
88.75	30	NAN	
89	30	NAN	
89.25	30	NAN	
89.5	30	NAN	
89.75	30	NAN	
90	30	NAN	
90.25	30	NAN	
90.5	30	NAN	
90.75	30	NAN	
91	30	NAN	
91.25	30	NAN	
91.5	30	NAN	
91.75	30	NAN	
92	30	NAN	
92.25	30	NAN	
92.5	30	NAN	
92.75	30	NAN	
93	30	NAN	
93.25	30	NAN	
93.5	30	NAN	
93.75	30	NAN	
94	30	NAN	
94.25	30	NAN	
94.5	30	NAN	
94.75	30	NAN	
95	30	NAN	
95.25	30	NAN	
95.5	30	NAN	
95.75	30	NAN	
96	30	NAN	
96.25	30	NAN	
96.5	30	NAN	
96.75	30	NAN	
97	30	NAN	
97.25	30	NAN	
97.5	30	NAN	
97.75	30	NAN	
98	30	NAN	
98.25	30	NAN	
98.5	30	NAN	
98.75	30	NAN	
99	30	NAN	
99.25	30	NAN	
99.5	30	NAN	
99.75	30	NAN	
100	30	NAN	
100.25	30	NAN	
100.5	30	NAN	
100.75	30	NAN	
101	30	NAN	
101.25	30	NAN	
101.5	30	NAN	
101.75	30	NAN	
102	30	NAN	
102.25	30	NAN	
102.5	30	NAN	
102.75	30	NAN	
103	30	NAN	
103.25	30	NAN	
103.5	30	NAN	
103.75	30	NAN	
104	30	NAN	
104.25	30	NAN	
104.5	30	NAN	
104.75	30	NAN	
105	30	NAN	
105.25	30	NAN	
105.5	30	NAN	
105.75	30	NAN	
106	30	NAN	
106.25	30	NAN	
106.5	30	NAN	
106.75	30	NAN	
107	30	NAN	
107.25	30	NAN	
107.5	30	NAN	
107.75	30	NAN	
108	30	NAN	
108.25	30	NAN	
108.5	30	NAN	
108.75	30	NAN	
109	30	NAN	
109.25	30	NAN	
109.5	30	NAN	
109.75	30	NAN	
110	30	NAN	
110.25	30	NAN	
110.5	30	NAN	
110.75	30	NAN	
111	30	NAN	
111.25	30	NAN	
111.5	30	NAN	
111.75	30	NAN	
112	30	NAN	
112.25	30	NAN	
112.5	30	NAN	
112.75	30	NAN	
113	30	NAN	
113.25	30	NAN	
113.5	30	NAN	
113.75	30	NAN	
114	30	NAN	
114.25	30	NAN	
114.5	30	NAN	
114.75	30	NAN	
115	30	NAN	
115.25	30	NAN	
115.5	30	NAN	
115.75	30	NAN	
116	30	NAN	
116.25	30	NAN	
116.5	30	NAN	
116.75	30	NAN	
117	30	NAN	
117.25	30	NAN	
117.5	30	NAN	
117.75	30	NAN	
118	30	NAN	
118.25	30	NAN	
118.5	30	NAN	
118.75	30	NAN	
119	30	NAN	
119.25	30	NAN	
119.5	30	NAN	
119.75	30	NAN	
120	30	NAN	
120.25	30	NAN	
120.5	30	NAN	
120.75	30	NAN	
121	30	NAN	
121.25	30	NAN	
121.5	30	NAN	
121.75	30	NAN	
122	30	NAN	
122.25	30	NAN	
122.5	30	NAN	
122.75	30	NAN	
123	30	NAN	
123.25	30	NAN	
123.5	30	NAN	
123.75	30	NAN	
124	30	NAN	
124.25	30	NAN	
124.5	30	NAN	
124.75	30	NAN	
125	30	NAN	
125.25	30	NAN	
125.5	30	NAN	
125.75	30	NAN	
126	30	NAN	
126.25	30	NAN	
126.5	30	NAN	
126.75	30	NAN	
127	30	NAN	
127.25	30	NAN	
127.5	30	NAN	
127.75	30	NAN	
128	30	NAN	
128.25	30	NAN	
128.5	30	NAN	
128.75	30	NAN	
129	30	NAN	
129.25	30	NAN	
129.5	30	NAN	
129.75	30	NAN	
130	30	NAN	
130.25	32	NAN	
130.5	32.6	NAN	
130.75	34.5	NAN	
131	37.1	NAN	
131.25	39.6	NAN	
131.5	42.2	NAN	
131.75	44.8	NAN	
132	48.6	NAN	
132.25	52.4	NAN	
132.5	55.6	NAN	
132.75	60.1	NAN	
133	62.7	NAN	
133.25	66.5	NAN	
133.5	69.1	NAN	
133.75	72.3	NAN	
134	73.6	NAN	
134.25	75.5	NAN	
134.5	76.8	NAN	
134.75	77.4	NAN	
135	77.4	NAN	
135.25	76.8	NAN	
135.5	75.5	NAN	
135.75	75.5	NAN	
136	72.9	NAN	
136.25	71	NAN	
136.5	69.1	NAN	
136.75	65.2	NAN	
137	62.7	NAN	
137.25	60.1	NAN	
137.5	57.6	NAN	
137.75	55	NAN	
138	52.4	NAN	
138.25	49.9	NAN	
138.5	48	NAN	
138.75	44.8	NAN	
139	43.5	NAN	
139.25	42.2	NAN	
139.5	40.9	NAN	
